INDE_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,MEDIA_INDICADORES_2020,STD_INDICADORES_2020,MIN_INDICADORES_2020,MAX_INDICADORES_2020,RATIO_IDA_IAN,RATIO_IEG_IPS,DIFF_INDE_MEDIA,PEDRA_2020_NORM,PONTO_VIRADA_2020_NORM,INSTITUICAO_ENSINO_ALUNO_2020_NORM,FASE_TURMA_2020_NORM,IDADE_ALUNO_2020,ANOS_PM_2020,FAIXA_ETARIA,RATIO_ANOS_PM_IDADE,RISCO_DEFASAGEM
8.032085,8.000020000000001,8.9,7.5,9.5,7.1875,7.916665,5.0,7.7148835714285715,1.4380577948362459,5.0,9.5,1.8999962000076,1.1866650844465543,0.31720142857142886,ametista,nao,escola publica,1m,10.0,0.0,0.0,0.0,0
8.342085,8.500020000000001,7.7,7.5,10.0,7.1875,7.416665,10.0,8.329169285714286,1.2132593183941502,7.1875,10.0,0.9999990000010001,1.0266652977796031,0.012915714285714586,ametista,nao,escola publica,1d,8.0,1.0,0.0,0.12499984375019532,0
7.895835000000001,9.000020000000001,10.0,8.125,9.5,2.5,7.666665,5.0,7.398812142857143,2.7109896515723078,2.5,10.0,1.8999962000076,1.2307677159781958,0.49702285714285743,ametista,nao,escola publica,0a,9.0,1.0,0.0,0.11111098765445816,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
7.187502,9.000020000000001,9.0,7.5,5.0,7.708333333333334,7.333333333333333,5.0,7.220240952380953,1.659487103639884,5.0,9.000020000000001,0.9999980000040001,1.1999984000021333,-0.032738952380952924,agata,nao,escola publica,1c,10.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
5.854169000000001,7.416679999999999,10.0,5.625,5.5,2.5,3.500005,5.0,5.648812142857143,2.4844265550757334,2.5,10.0,1.0999978000044002,1.7777746172895694,0.20535685714285723,quartzo,nao,escola publica,0g,9.0,1.0,0.0,0.11111098765445816,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
8.428752,10.00002,9.8,7.5,10.0,7.1875,7.5,5.0,8.141074285714286,1.8824152292454603,5.0,10.00002,1.9999960000080002,1.3066649244467676,0.28767771428571365,ametista,nao,escola publica,0d,10.0,1.0,0.0,0.0999999000001,1
7.798752,9.000020000000001,8.4,7.5,6.5,7.1875,7.25,10.0,7.976788571428571,1.216478857021754,6.5,10.0,0.64999935000065,1.119998506668658,-0.17803657142857077,ametista,nao,escola publica,1a,9.0,1.0,0.0,0.11111098765445816,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
7.131667,7.5,8.7,5.625,3.0,8.125,8.333335,10.0,7.3261907142857146,2.321250724200979,3.0,10.0,0.2999997000003,1.5466639170419252,-0.19452371428571436,agata,nao,escola publica,6b,16.0,1.0,2.0,0.06249996093752441,0
8.238891333333333,9.50002,9.5,7.5,7.5,9.166666666666666,8.611113333333334,5.0,8.111114285714285,1.6149409651883209,5.0,9.50002,1.4999970000060001,1.2666649777800296,0.1277770476190483,ametista,nao,escola publica,1r,11.0,1.0,1.0,0.09090900826453795,1
7.963542166666667,6.24999,9.0,7.5,6.333333333333333,7.96875,8.6250075,10.0,7.953868690476191,1.3824511462980864,6.24999,10.0,0.6333327000006334,1.1999984000021333,0.00967347619047576,ametista,nao,rede decisao/uniao,3b,11.0,1.0,1.0,0.09090900826453795,0
8.167711833333334,10.00002,9.0,7.5,4.666666666666667,8.59375,9.1250075,10.0,8.412206309523809,1.861449872088452,4.666666666666667,10.00002,0.4666662000004667,1.1999984000021333,-0.24449447619047504,ametista,sim,rede decisao/uniao,4f,13.0,3.0,1.0,0.23076905325457442,0
5.884585,8.500020000000001,7.1,7.5,0.0,7.8125,7.916665,5.0,6.261312142857143,2.977439412218516,0.0,8.500020000000001,0.0,0.9466654044461275,-0.3767271428571428,quartzo,nao,escola publica,1m,10.0,1.0,0.0,0.0999999000001,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
7.110556666666668,7.916679999999999,8.9,7.5,5.0,6.666666666666667,8.11111,5.0,7.013493809523808,1.5299621011288076,5.0,8.9,0.9999980000040001,1.1866650844465543,0.09706285714286,agata,nao,rede decisao/uniao,2j,12.0,2.0,1.0,0.16666652777789354,0
6.064722,9.16668,5.9,3.75,5.0,7.708333333333334,6.611103333333333,5.0,6.162302380952381,1.8352028881547495,3.75,9.16668,0.9999980000040001,1.573329137788966,-0.09758038095238142,quartzo,nao,escola publica,3e,14.0,2.0,2.0,0.1428570408163994,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
7.953752000000001,8.500020000000001,8.8,7.5,8.5,8.4375,7.75,5.0,7.783931428571429,1.3113051295996236,5.0,8.8,1.6999966000068,1.173331768890975,0.16982057142857165,ametista,nao,escola publica,1b,10.0,2.0,0.0,0.1999998000002,1
7.708752,9.50002,8.7,7.5,7.5,7.1875,7.75,5.0,7.591074285714285,1.4019138449379014,5.0,9.50002,1.4999970000060001,1.1599984533353955,0.11767771428571461,ametista,nao,escola publica,1d,10.0,1.0,0.0,0.0999999000001,0
8.431252,9.000020000000001,10.0,7.5,10.0,7.8125,7.5,5.0,8.116074285714285,1.7531345057625323,5.0,10.0,1.9999960000080002,1.333331555557926,0.3151777142857153,ametista,nao,escola publica,0g,11.0,1.0,1.0,0.09090900826453795,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
8.082224,10.00002,8.8,7.5,8.5,7.5,8.11111,5.0,7.915875714285714,1.5466569951765554,5.0,10.00002,1.6999966000068,1.173331768890975,0.16634828571428617,ametista,nao,escola publica,1j,11.0,1.0,1.0,0.09090900826453795,1
7.800001000000001,9.000020000000001,10.0,5.0,10.0,2.5,5.749995,10.0,7.464287857142857,3.0359965415107895,2.5,10.0,0.9999990000010001,1.9999960000080002,0.33571314285714404,ametista,nao,escola publica,0e,8.0,0.0,0.0,0.0,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
3.7383341666666654,7.91667,0.9,3.125,2.833333333333333,5.625,4.1250025,5.0,4.217857976190476,2.2509648279678016,0.9,7.91667,0.5666655333356,0.28799907840294914,-0.479523809523811,quartzo,nao,escola publica,5g,16.0,4.0,2.0,0.24999984375009765,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
8.257224,10.00002,8.3,7.5,7.5,7.916666666666668,7.777776666666667,10.0,8.427780476190478,1.1079586863577815,7.5,10.00002,0.7499992500007501,1.1066651911130787,-0.17055647619047676,ametista,nao,escola publica,1h,9.0,2.0,0.0,0.22222197530891633,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
7.744167,7.08333,4.7,7.5,9.0,8.125,8.66667,10.0,7.867857142857143,1.6989273888222756,4.7,10.0,0.8999991000009,0.6266658311122253,-0.12369014285714286,ametista,sim,escola publica,3c,13.0,2.0,1.0,0.15384603550304962,1
8.539168666666667,10.00002,9.8,5.0,7.0,8.125,9.333333333333332,10.0,8.465479047619047,1.893708336033272,5.0,10.00002,0.6999993000007,1.9599960800078402,0.07368961904762017,topazio,sim,escola publica,3f,13.0,4.0,1.0,0.30769207100609924,1
8.832500666666666,8.33334,9.6,7.5,8.666666666666666,8.958333333333332,8.5,10.0,8.794048571428572,0.8286908190340488,7.5,10.0,0.8666658000008667,1.2799982933356089,0.03845209523809423,topazio,nao,escola publica,3f,12.0,1.0,1.0,0.08333326388894677,0
7.355834833333334,7.91667,5.8,7.5,5.666666666666667,8.125,8.5416725,10.0,7.65000130952381,1.5271394199207526,5.666666666666667,10.0,0.5666661000005667,0.7733323022235971,-0.2941664761904761,ametista,nao,escola publica,4f,13.0,4.0,1.0,0.30769207100609924,0
7.718541500000001,7.08333,9.4,7.5,8.0,7.96875,7.4166675,5.0,7.4812496428571436,1.3233684121529525,5.0,9.4,1.5999968000064002,1.2533316622244506,0.23729185714285705,ametista,nao,escola publica,3l,14.0,1.0,2.0,0.0714285204081997,1
5.2162495,0.0,4.3,7.5,2.0,7.8125,7.1249975,10.0,5.533928214285715,3.5630093848443605,0.0,10.0,0.1999998000002,0.5733325688899081,-0.3176787142857149,quartzo,nao,escola publica,6b,16.0,2.0,2.0,0.12499992187504883,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
7.842502,9.000020000000001,9.4,7.5,5.0,8.125,7.5,10.0,8.075002857142858,1.6551075997420257,5.0,10.0,0.49999950000050003,1.2533316622244506,-0.23250085714285795,ametista,nao,escola publica,2d,11.0,0.0,1.0,0.0,1
9.075004,9.50002,10.0,6.25,10.0,10.0,10.00001,5.0,8.678575714285714,2.1248272478945758,5.0,10.00001,1.9999960000080002,1.5999974400040962,0.39642828571428623,topazio,sim,escola publica,0h,9.0,1.0,0.0,0.11111098765445816,1
6.345836,7.416679999999999,10.0,4.375,7.0,2.5,2.58334,10.0,6.26786,3.1903220819848266,2.5,10.0,0.6999993000007,2.2857090612364317,0.07797600000000049,agata,nao,escola publica,0h,8.0,1.0,0.0,0.12499984375019532,1
8.081669333333334,9.000020000000001,9.7,5.0,9.0,8.749999999999998,7.833336666666668,5.0,7.7547652380952385,1.9604139039138468,5.0,9.7,1.7999964000072002,1.93999612000776,0.3269040952380955,ametista,nao,escola publica,2p,12.0,2.0,1.0,0.16666652777789354,0
8.942503,8.000020000000001,9.4,7.5,9.5,8.125,9.000005,10.0,8.789289285714286,0.923290489194438,7.5,10.0,0.9499990500009501,1.2533316622244506,0.15321371428571418,topazio,sim,escola publica,1b,9.0,1.0,0.0,0.11111098765445816,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
7.832084999999999,9.50002,7.9,8.75,5.0,8.4375,7.916665,10.0,8.21488357142857,1.6174922116111157,5.0,10.0,0.49999950000050003,0.9028561110215875,-0.3827985714285713,ametista,nao,escola publica,2m,11.0,1.0,1.0,0.09090900826453795,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
